# پروندهٔ تاریخ نمونه (سینتتیک) — اعداد واقعی بازار نیستند
# ستون‌ها: تاریخ · نماد · راهبرد · فیلدهای ریاضی · وجه تضمین · نقدشوندگی · اسپرد · نرخ سد · نتیجهٔ واقعی سالانه
date,symbol,kind,spot,future,strike,premium,put_price,stock_price,call,put,call_low,put_low,call_high,put_high,strike_low,strike_high,rate,days,margin_per_contract,liquidity_contracts_per_day,spread_pct,hurdle,realized_annualized_pct
1405-02-15,وبملت,parity,9000,,9000,,,,641,380,,,,,,,0.39,30,9000,80,0.02,0.34,25.8
1405-02-15,شپدیس,box,,,,,,,,,89,123,75,164,1200,1500,,45,250000,60,0.025,0.34,108.0
1405-02-15,فملی,box,,,,,,,,,89,123,75,164,800,1100,,30,200000,45,0.022,0.34,31.0
1405-03-15,اهرم,basis,20000,22423,,,,,,,,,,,,,,90,20000000,900,0.005,0.35,-27.3
1405-03-15,طلا,basis,20000,21899,,,,,,,,,,,,,,60,20000000,700,0.006,0.35,53.8
1405-03-15,فولاد,covered_call,7000,,7600,351,,,,,,,,,,,,45,7000,160,0.018,0.35,45.3
1405-03-15,شپنا,covered_call,9000,,9600,451,,,,,,,,,,,,30,9000,90,0.02,0.35,54.3
1405-03-15,کگل,tabei,,,14210,,37,9800,,,,,,,,,,365,9840,240,0.02,0.35,31.8
1405-03-15,خساپا,tabei,,,3000,,13,2500,,,,,,,,,,270,2512,320,0.012,0.35,31.2
1405-03-15,شستا,tabei,,,1320,,5,1200,,,,,,,,,,200,1205,400,0.015,0.35,21.4
1405-03-15,وبملت,parity,9000,,9000,,,,594,380,,,,,,,0.39,30,9000,80,0.02,0.35,-63.5
1405-03-15,شپدیس,box,,,,,,,,,89,123,75,164,1200,1500,,45,250000,60,0.025,0.35,43.8
1405-03-15,فملی,box,,,,,,,,,88,121,75,163,800,1100,,30,200000,45,0.022,0.35,27.1
1405-04-15,اهرم,basis,20000,22883,,,,,,,,,,,,,,90,20000000,900,0.005,0.36,24.7
1405-04-15,طلا,basis,20000,21736,,,,,,,,,,,,,,60,20000000,700,0.006,0.36,45.2
1405-04-15,فولاد,covered_call,7000,,7600,362,,,,,,,,,,,,45,7000,160,0.018,0.36,32.4
1405-04-15,شپنا,covered_call,9000,,9600,452,,,,,,,,,,,,30,9000,90,0.02,0.36,-16.7
1405-04-15,کگل,tabei,,,14210,,45,9800,,,,,,,,,,365,9840,240,0.02,0.36,21.8
1405-04-15,خساپا,tabei,,,3000,,8,2500,,,,,,,,,,270,2512,320,0.012,0.36,7.3
1405-04-15,شستا,tabei,,,1320,,4,1200,,,,,,,,,,200,1205,400,0.015,0.36,21.4
1405-04-15,وبملت,parity,9000,,9000,,,,643,380,,,,,,,0.39,30,9000,80,0.02,0.36,59.6
1405-04-15,شپدیس,box,,,,,,,,,88,121,75,163,1200,1500,,45,250000,60,0.025,0.36,34.0
1405-04-15,فملی,box,,,,,,,,,88,121,75,163,800,1100,,30,200000,45,0.022,0.36,7.8
1405-05-15,اهرم,basis,20000,23138,,,,,,,,,,,,,,90,20000000,900,0.005,0.37,-38.7
1405-05-15,طلا,basis,20000,21312,,,,,,,,,,,,,,60,20000000,700,0.006,0.37,17.1
1405-05-15,فولاد,covered_call,7000,,7600,345,,,,,,,,,,,,45,7000,160,0.018,0.37,40.3
1405-05-15,شپنا,covered_call,9000,,9600,490,,,,,,,,,,,,30,9000,90,0.02,0.37,85.7
1405-05-15,کگل,tabei,,,14210,,44,9800,,,,,,,,,,365,9840,240,0.02,0.37,44.1
1405-05-15,خساپا,tabei,,,3000,,12,2500,,,,,,,,,,270,2512,320,0.012,0.37,-4.6
1405-05-15,شستا,tabei,,,1320,,6,1200,,,,,,,,,,200,1205,400,0.015,0.37,28.0
1405-05-15,وبملت,parity,9000,,9000,,,,625,380,,,,,,,0.39,30,9000,80,0.02,0.37,15.7
1405-05-15,شپدیس,box,,,,,,,,,87,121,75,163,1200,1500,,45,250000,60,0.025,0.37,9.8
1405-05-15,فملی,box,,,,,,,,,88,121,75,163,800,1100,,30,200000,45,0.022,0.37,1.1
1405-06-15,اهرم,basis,20000,22803,,,,,,,,,,,,,,90,20000000,900,0.005,0.38,32.1
1405-06-15,طلا,basis,20000,21237,,,,,,,,,,,,,,60,20000000,700,0.006,0.38,-1.2
1405-06-15,فولاد,covered_call,7000,,7600,356,,,,,,,,,,,,45,7000,160,0.018,0.38,31.2
1405-06-15,شپنا,covered_call,9000,,9600,443,,,,,,,,,,,,30,9000,90,0.02,0.38,-6.4
1405-06-15,کگل,tabei,,,14210,,57,9800,,,,,,,,,,365,9840,240,0.02,0.38,7.9
1405-06-15,خساپا,tabei,,,3000,,14,2500,,,,,,,,,,270,2512,320,0.012,0.38,3.4
1405-06-15,شستا,tabei,,,1320,,5,1200,,,,,,,,,,200,1205,400,0.015,0.38,16.3
1405-06-15,وبملت,parity,9000,,9000,,,,634,380,,,,,,,0.39,30,9000,80,0.02,0.38,2.6
1405-06-15,شپدیس,box,,,,,,,,,87,121,75,163,1200,1500,,45,250000,60,0.025,0.38,6.6
1405-06-15,فملی,box,,,,,,,,,87,120,75,163,800,1100,,30,200000,45,0.022,0.38,58.9
1405-07-15,اهرم,basis,20000,22792,,,,,,,,,,,,,,90,20000000,900,0.005,0.39,-34.1
1405-07-15,طلا,basis,20000,21191,,,,,,,,,,,,,,60,20000000,700,0.006,0.39,23.4
1405-07-15,فولاد,covered_call,7000,,7600,337,,,,,,,,,,,,45,7000,160,0.018,0.39,-22.9
1405-07-15,شپنا,covered_call,9000,,9600,465,,,,,,,,,,,,30,9000,90,0.02,0.39,36.1
1405-07-15,کگل,tabei,,,14210,,30,9800,,,,,,,,,,365,9840,240,0.02,0.39,6.7
1405-07-15,خساپا,tabei,,,3000,,15,2500,,,,,,,,,,270,2512,320,0.012,0.39,19.3
1405-07-15,شستا,tabei,,,1320,,5,1200,,,,,,,,,,200,1205,400,0.015,0.39,8.0
1405-07-15,وبملت,parity,9000,,9000,,,,649,380,,,,,,,0.39,30,9000,80,0.02,0.39,19.9
1405-07-15,شپدیس,box,,,,,,,,,87,121,75,163,1200,1500,,45,250000,60,0.025,0.39,-52.6
1405-07-15,فملی,box,,,,,,,,,87,121,75,163,800,1100,,30,200000,45,0.022,0.39,-25.5
1405-08-15,اهرم,basis,20000,23367,,,,,,,,,,,,,,90,20000000,900,0.005,0.4,29.6
1405-08-15,طلا,basis,20000,21616,,,,,,,,,,,,,,60,20000000,700,0.006,0.4,8.0
1405-08-15,فولاد,covered_call,7000,,7600,327,,,,,,,,,,,,45,7000,160,0.018,0.4,-50.2
1405-08-15,شپنا,covered_call,9000,,9600,459,,,,,,,,,,,,30,9000,90,0.02,0.4,54.5
1405-08-15,کگل,tabei,,,14210,,51,9800,,,,,,,,,,365,9840,240,0.02,0.4,52.7
1405-08-15,خساپا,tabei,,,3000,,10,2500,,,,,,,,,,270,2512,320,0.012,0.4,29.7
1405-08-15,شستا,tabei,,,1320,,5,1200,,,,,,,,,,200,1205,400,0.015,0.4,16.3
1405-08-15,وبملت,parity,9000,,9000,,,,684,380,,,,,,,0.39,30,9000,80,0.02,0.4,25.9
1405-08-15,شپدیس,box,,,,,,,,,88,121,75,163,1200,1500,,45,250000,60,0.025,0.4,40.8
1405-08-15,فملی,box,,,,,,,,,88,122,75,164,800,1100,,30,200000,45,0.022,0.4,-16.3
1405-09-15,اهرم,basis,20000,22597,,,,,,,,,,,,,,90,20000000,900,0.005,0.41,14.9
1405-09-15,طلا,basis,20000,21307,,,,,,,,,,,,,,60,20000000,700,0.006,0.41,8.0
1405-09-15,فولاد,covered_call,7000,,7600,335,,,,,,,,,,,,45,7000,160,0.018,0.41,33.2
1405-09-15,شپنا,covered_call,9000,,9600,443,,,,,,,,,,,,30,9000,90,0.02,0.41,23.9
1405-09-15,کگل,tabei,,,14210,,38,9800,,,,,,,,,,365,9840,240,0.02,0.41,45.8
1405-09-15,خساپا,tabei,,,3000,,15,2500,,,,,,,,,,270,2512,320,0.012,0.41,53.7
1405-09-15,شستا,tabei,,,1320,,4,1200,,,,,,,,,,200,1205,400,0.015,0.41,18.9
1405-09-15,وبملت,parity,9000,,9000,,,,663,380,,,,,,,0.39,30,9000,80,0.02,0.41,64.2
1405-09-15,شپدیس,box,,,,,,,,,87,121,75,163,1200,1500,,45,250000,60,0.025,0.41,-27.3
1405-09-15,فملی,box,,,,,,,,,88,121,75,163,800,1100,,30,200000,45,0.022,0.41,40.4
1405-10-15,اهرم,basis,20000,23187,,,,,,,,,,,,,,90,20000000,900,0.005,0.42,-35.9
1405-10-15,طلا,basis,20000,21401,,,,,,,,,,,,,,60,20000000,700,0.006,0.42,53.5
1405-10-15,فولاد,covered_call,7000,,7600,336,,,,,,,,,,,,45,7000,160,0.018,0.42,60.7
1405-10-15,شپنا,covered_call,9000,,9600,440,,,,,,,,,,,,30,9000,90,0.02,0.42,8.4
1405-10-15,کگل,tabei,,,14210,,36,9800,,,,,,,,,,365,9840,240,0.02,0.42,17.7
1405-10-15,خساپا,tabei,,,3000,,14,2500,,,,,,,,,,270,2512,320,0.012,0.42,37.1
1405-10-15,شستا,tabei,,,1320,,7,1200,,,,,,,,,,200,1205,400,0.015,0.42,20.6
1405-10-15,وبملت,parity,9000,,9000,,,,661,380,,,,,,,0.39,30,9000,80,0.02,0.42,31.6
1405-10-15,شپدیس,box,,,,,,,,,88,121,75,163,1200,1500,,45,250000,60,0.025,0.42,74.3
1405-10-15,فملی,box,,,,,,,,,87,121,75,163,800,1100,,30,200000,45,0.022,0.42,19.5
